review,results
rt junebugg hell yea save money like a hoe,1
how the hell was david murphy s hit not a home run clearly over the yellow line another umpire mess up smh,2
rt you don t know where your boyfriend is at on a saturday night lol he fucking other bitches that s where he s at,1
thats some hoe shit doe,1
i just want vanilla oreos,2
lol autocorrect is a bitch but voice recognition is much faster than typing,1
im prolly wit yo bitch big butt cant fit up in the 6,1
bitchslapthursdays 2nite pure passion doors open 10 but we watching the game in that bitch too 8230 http t co iggohwewfh,1
rt that bitch wanna ignore my text wait till she get off work rt caption this http t co zwrimdzqnv,1
why werent you so gung ho when you got drafted instead of shitting yourself you seem like another repcon chicken hawk,1
experience charlie married woman who loves hot phone sex with strangers can you get me off 27 http t co jtsijbulvc,2
lt lt best name on twitter ever aka jewbacca lt lt second best name on twitter,2
rt don t be mad at me for telling facts be embarrassed at urself for acting like a bitch,1
s o clark for keeping me sane when i m a cunt,1
ima hypocrite i ll say i dont fuck with hoes then 2 days later let a hoe play with my dick in the mcdonald s drive thru love their fries,1
rt yassssssssssssss rt nothing wrong with black girls having high dick standards our pussy bomb nigga,1
rt first i charge my phone then i text your bitch,1
we ont get head from hoes wit overbites,1
8220 chiefington dej loaf ever bitch wc today all it takes is a lil juice and these bitches want you 8221,1
rt tjl0326 8220 54 when the pussy so wet you hear that shit smacking gt gt gt gt gt 128049 128166 128166 128553 128525 128588 8221 10071 65039,1
mlg get on cunt,0
just a young niggah wit a promised future,1
rt once again birds of a feather,2
rt ok i gotta cut this carl thomas album off b4 i call my ex amp say fuck u u ruthless bitch lol,1
cants even fool a colored man wit dis bullshit http t co gtln1tpmgi,1
22 talented drivers rt i am really glad there haven t been any yellows but why haven t there been any yellows,2
yea ho,2
rt my soul mate probably some ho around the corner,1
bitches cheat on they bitch but be soooooo hurt when they bitch cheat back,1
rt if ya chick always getting into it wit other bitches u gotta tell her that shit ain 8217 t fly and it 8217 s costly,1
rt millz5 128514 128514 128514 128514 128514 why fab snapped like that http t co glkgtqig15 128514 128514 128514 konnnichiwa bitch,1
rt we found your brother charlie out working on the dishes today dsn50 nasasocial http t co onvuqns7ht,2
these days bitches be just letting anyone hit raw,1
rt 41395 and i aint got time for bitches gotta keep my mind on my mothafuckin riches,1
you fags hyped that shit up so much and i listen to it everything is garbage,1
weed brownies gt gt gt gt 128553 128079,2
ted33 kobe stay talking trash but let s not forget http t co vh4tnekvtp austin12 i meant to do this one smh,1
x3 mhm bitch don t play with your life 128299,1
you little dumb ass bitch i dont fuck with you,1
rt i feel like eating pussy right fucking now,1
rt these bitches wanna fuck me cuz dat molly got dem high 128517 128138 http t co xtno13tnus,1
even they know you my bitch,1
i love the acoustic domes in the hallways favorite place to sing in public no lie http t co g6az9ryubq,2
overall this single life is about fun just do that and also get the nudes but don t leak em unless you re a faggot,1
rt rt if you like bmth adtr ptv ymas sws atl om amp m aa miw btf wcar mcr afi pe bvb wim bc ss cte nsn gd watic aa bfmv fob f 8230,2
rt hussle bron pregame speeches be so trash though lmao,2
jamaica populated with island hillbillies even linguistics are kind of the same if you sub the accent olde english derivatives,2
my nigga got me hanging out with his fat catfish bitch smh,1
doe thats nate dumbass we all just mock him,1
lmao i m weakkk 8220 cerious 8220 my pussy popz severely https t co 1vtqx9ioxk 8221 lmfaoooooooo 8221,1
never messed with a hoe that went to jail unless i didn t know her last name,1
i just want the bad hoes and i wanna reach the children,1
9 where are the birds at wasn t it port where birds were all over,2
8 10 of the girls u went to hs with look horrible now but don t wanna believe it i m bout to piss them facebook hoes off with this,1
please stay safe you guys i love you so much i hoe to one day meet you guys happy halloween,2
rt and if you looking for my i ll be on these bitches mind,1
rt today in 1996 charlie wilson left office should be ranked alongside lech wa 322 281 sa for his role in defeating communism 8230,2
dumb bitches that think buddha says namaste,1
2 good jeter hero for yankees in send off http t co ostfobgufa via,2
rt females always talk about how on point their nails and eyebrows are okay bitch your personality is still shit though,1
i cuff no hoes,1
i eats the pussy,1
rt niggas these days will walk 10 miles to get some pussy 128557,1
just noticed some trash on my notification page i had to clean up,2
lranderson that hoe over that,1
rt told yo bitch get on her knees i don t want no sex 128526 128175,1
retweet to spam this faggot rt dick going 128070,1
rt pours out 40 for the bitches that do hair and makeup every single day,1
rt too many faithful girls are single and too many hoes are taken,1
i got my own legacy bitches fuck yall legacy,1
rt eat her pussy and look at her like 128540 128541 128514 http t co migiymgrjt,1
i was enjoying nicki minaj s song anaconda until she said fuck skinny bitches lol nah bitch fuck you,1
fuck outta here and go put some more trash ass ink on your faggot ass self pussy,0
bitches come amp go ya know that,1
bitches be tambout my party no bitch its everybody party,1
faggot,0
rt i sent that bitch a smiley face bitches love smiley faces 128515,1
8220 uhoh you got the hoes lol rt abrupt y all i found this letter on my car http t co lu58himxxs 8221 naaah,1
rt we all know a hoe like this http t co nvln1xlinw,1
only fags say swag shits mad retarded,0
gapeach got it thanks hun ima text u,2
